id;nom;population;longitude;latitude
arbignieu;ARBIGNIEU;480;5,65;45,7333
leyssard;LEYSSARD;153;5,46667;46,1667
saint-jean-de-thurigneux;SAINT-JEAN-DE-THURIGNEUX;710;4,88333;45,95
frans;FRANS;1984;4,78333;45,9833
tenay;TENAY;1120;5,5;45,9167
bage-la-ville;BAGE-LA-VILLE;3040;4,95;46,3167
montmerle-sur-saone;MONTMERLE-SUR-SAONE;3823;4,76667;46,0833
courmangoux;COURMANGOUX;507;5,36667;46,3333
baneins;BANEINS;572;4,9;46,1167
lagnieu;LAGNIEU;6756;5,35;45,9
attignat;ATTIGNAT;2936;5,16667;46,2833
saint-andre-de-bage;SAINT-ANDRE-DE-BAGE;635;4,91667;46,3
pont-de-vaux;PONT-DE-VAUX;2205;4,93333;46,4333
amberieu-en-bugey;AMBERIEU-EN-BUGEY;13835;5,35;45,95
peyzieux-sur-saone;PEYZIEUX-SUR-SAONE;473;4,81667;46,1167
crozet-01;CROZET;1862;6,01251;46,2806
seyssel-01;SEYSSEL;942;5,83194;45,9597
beynost;BEYNOST;4475;5;45,8333
versonnex-01;VERSONNEX;2144;6,09723;46,3023
saint-laurent-sur-saone;SAINT-LAURENT-SUR-SAONE;1749;4,83333;46,3
artemare;ARTEMARE;1126;5,7;45,8667
montracol;MONTRACOL;967;5,11667;46,1833
parves;PARVES;360;5,75;45,75
pugieu;PUGIEU;168;5,65;45,8167
virieu-le-grand;VIRIEU-LE-GRAND;1156;5,65;45,85
saint-remy-01;SAINT-REMY;906;5,16667;46,1833
rance;RANCE;641;4,86667;45,9667
grieges;GRIEGES;1899;4,85;46,25
grand-corent;GRAND-CORENT;161;5,43333;46,2
outriaz;OUTRIAZ;256;5,55;46,0667
montagnieu-01;MONTAGNIEU;495;5,46667;45,8
champagne-en-valromey;CHAMPAGNE-EN-VALROMEY;765;5,68333;45,9
amberieux-en-dombes;AMBERIEUX-EN-DOMBES;1616;4,9;46
boisse-01;LA BOISSE;2928;5,03333;45,85
parcieux;PARCIEUX;1095;4,81667;45,9167
saint-didier-d-aussiat;SAINT-DIDIER-D'AUSSIAT;863;5,06667;46,3
saint-nizier-le-bouchoux;SAINT-NIZIER-LE-BOUCHOUX;703;5,15;46,45
ars-sur-formans;ARS-SUR-FORMANS;1367;4,81667;45,9833
anglefort;ANGLEFORT;994;5,80833;45,9167
corlier;CORLIER;124;5,5;46,0333
ferney-voltaire;FERNEY-VOLTAIRE;8025;6,11667;46,25
saint-maurice-de-remens;SAINT-MAURICE-DE-REMENS;709;5,28333;45,95
chatillon-la-palud;CHATILLON-LA-PALUD;1562;5,25;45,9667
saint-sulpice-01;SAINT-SULPICE;142;5,04167;46,3203
saint-bois;SAINT-BOIS;123;5,63333;45,7
virignin;VIRIGNIN;855;5,71667;45,7167
premillieu;PREMILLIEU;36;5,56667;45,8667
genouilleux;GENOUILLEUX;609;4,78333;46,1167
reyssouze;REYSSOUZE;929;4,91667;46,4333
collonges;COLLONGES;1897;5,9;46,1333
saint-germain-de-joux;SAINT-GERMAIN-DE-JOUX;480;5,73333;46,1833
bregnier-cordon;BREGNIER-CORDON;832;5,61667;45,65
saint-martin-le-chatel;SAINT-MARTIN-LE-CHATEL;790;5,11667;46,2833
marignieu;MARIGNIEU;148;5,71667;45,8
neyrolles;LES NEYROLLES;637;5,63333;46,1333
sulignat;SULIGNAT;569;4,96667;46,1667
beny;BENY;724;5,28333;46,3333
injoux-genissiat;INJOUX-GENISSIAT;1055;5,78333;46,05
chanay;CHANAY;617;5,78333;46
chatillon-sur-chalaronne;CHATILLON-SUR-CHALARONNE;4922;4,96667;46,1167
farges-01;FARGES;854;5,91667;46,1667
saint-alban-01;SAINT-ALBAN;163;5,45;46,1
curtafond;CURTAFOND;702;5,08333;46,2667
viriat;VIRIAT;6006;5,21667;46,25
belleydoux;BELLEYDOUX;321;5,76667;46,25
bage-le-chatel;BAGE-LE-CHATEL;796;4,93333;46,3
sainte-olive;SAINTE-OLIVE;303;4,93333;46,0167
saint-genis-sur-menthon;SAINT-GENIS-SUR-MENTHON;408;5,01667;46,2833
domsure;DOMSURE;473;5,3;46,4167
chavannes-sur-suran;CHAVANNES-SUR-SURAN;644;5,41667;46,2667
priay;PRIAY;1488;5,28333;46
peyrieu;PEYRIEU;821;5,67751;45,6767
lalleyriat;LALLEYRIAT;239;5,71667;46,15
sergy-01;SERGY;1977;6;46,25
saint-martin-du-frene;SAINT-MARTIN-DU-FRENE;1077;5,55;46,1333
saint-maurice-de-beynost;SAINT-MAURICE-DE-BEYNOST;3865;4,96667;45,8333
servas-01;SERVAS;1184;5,16667;46,1333
cuzieu-01;CUZIEU;407;5,67445;45,8192
jayat;JAYAT;1049;5,11667;46,3667
lavours;LAVOURS;148;5,76667;45,8
chevroux;CHEVROUX;933;4,95;46,3833
pollieu;POLLIEU;157;5,75;45,8
beligneux;BELIGNEUX;2905;5,11667;45,8667
brenaz;BRENAZ;92;5,71667;45,95
benonces;BENONCES;275;5,48333;45,8333
saint-jean-le-vieux-01;SAINT-JEAN-LE-VIEUX;1609;5,38917;46,0284
beauregard-01;BEAUREGARD;870;4,75139;46,002
oyonnax;OYONNAX;22650;5,66667;46,25
mionnay;MIONNAY;2077;4,93333;45,9
germagnat;GERMAGNAT;145;5,45;46,3167
coligny;COLIGNY;1154;5,35;46,3833
simandre-sur-suran;SIMANDRE-SUR-SURAN;650;5,41667;46,2167
abergement-clemenciat;L'ABERGEMENT-CLEMENCIAT;784;4,91667;46,15
lescheroux;LESCHEROUX;683;5,15;46,4
ornex;ORNEX;3531;6,1;46,2833
dommartin-01;DOMMARTIN;841;4,99167;46,3417
lompnas;LOMPNAS;149;5,51667;45,8
bettant;BETTANT;724;5,36667;45,9333
armix;ARMIX;20;5,58333;45,85
feillens;FEILLENS;3115;4,88333;46,3333
chavornay;CHAVORNAY;199;5,7;45,8833
challex;CHALLEX;1225;5,96667;46,1833
vongnes;VONGNES;74;5,71667;45,8167
magnieu;MAGNIEU;419;5,71667;45,7833
groissiat;GROISSIAT;1143;5,6;46,2167
dompierre-sur-chalaronne;DOMPIERRE-SUR-CHALARONNE;389;4,9;46,1333
montluel;MONTLUEL;6999;5,05;45,85
poizat;LE POIZAT;422;5,7;46,15
hostiaz;HOSTIAZ;82;5,53333;45,9
montanges;MONTANGES;330;5,8;46,1667
sainte-julie;SAINTE-JULIE;889;5,28333;45,8833
bey-01;BEY;245;4,85;46,2167
sonthonnax-la-montagne;SONTHONNAX-LA-MONTAGNE;320;5,53333;46,2333
mezeriat;MEZERIAT;2072;5,03333;46,2333
bellignat;BELLIGNAT;3537;5,61667;46,25
saint-marcel-01;SAINT-MARCEL;1212;4,98723;45,9487
belley;BELLEY;8755;5,68333;45,7667
corbonod;CORBONOD;1176;5,81667;45,95
neyron;NEYRON;2472;4,93223;45,8148
saint-paul-de-varax;SAINT-PAUL-DE-VARAX;1551;5,13333;46,1
pressiat;PRESSIAT;224;5,38333;46,3333
chazey-bons;CHAZEY-BONS;744;5,68333;45,8
servignat;SERVIGNAT;160;5,06667;46,4333
marlieux;MARLIEUX;887;5,06667;46,0667
andert-et-condon;ANDERT-ET-CONDON;340;5,65;45,8
hautecourt-romaneche;HAUTECOURT-ROMANECHE;773;5,41667;46,1583
crottet;CROTTET;1722;4,9;46,2833
druillat;DRUILLAT;1134;5,31667;46,0667
dompierre-sur-veyle;DOMPIERRE-SUR-VEYLE;1226;5,2;46,0667
perouges;PEROUGES;1204;5,18333;45,9
rignieux-le-franc;RIGNIEUX-LE-FRANC;950;5,18333;45,9333
giron;GIRON;162;5,76667;46,2333
cerdon-01;CERDON;741;5,46667;46,0833
cruzilles-les-mepillat;CRUZILLES-LES-MEPILLAT;818;4,88333;46,2167
lelex;LELEX;225;5,95;46,3
lhopital;LHOPITAL;59;5,77834;46,0217
segny;SEGNY;1649;6,08333;46,3
cheignieu-la-balme;CHEIGNIEU-LA-BALME;157;5,61667;45,8333
saint-vulbas;SAINT-VULBAS;957;5,28333;45,8333
echallon;ECHALLON;772;5,74139;46,21
montellier;LE MONTELLIER;244;5,06667;45,9333
martignat;MARTIGNAT;1604;5,6;46,2167
ceyzeriat;CEYZERIAT;2738;5,31667;46,1667
montcet;MONTCET;665;5,11667;46,2
vonnas;VONNAS;2790;5;46,2167
buellas;BUELLAS;1669;5,13333;46,2
saint-benigne;SAINT-BENIGNE;1161;4,96667;46,4333
chevillard;CHEVILLARD;162;5,58333;46,1167
bouligneux;BOULIGNEUX;309;5;46,0167
contrevoz;CONTREVOZ;539;5,63333;45,8
champdor;CHAMPDOR;464;5,6;46,0167
port-01;PORT;847;5,56667;46,1667
surjoux;SURJOUX;78;5,8;46,0167
champfromier;CHAMPFROMIER;677;5,81667;46,2
vesines;VESINES;91;4,86667;46,35
seillonnaz;SEILLONNAZ;138;5,48333;45,8
varambon;VARAMBON;521;5,31667;46,0333
grand-abergement;LE GRAND-ABERGEMENT;109;5,66667;46,0333
jassans-riottier;JASSANS-RIOTTIER;5976;4,75;45,9833
asnieres-sur-saone;ASNIERES-SUR-SAONE;73;4,88333;46,3833
condamine-01;CONDAMINE;404;5,56667;46,1167
lhuis;LHUIS;854;5,53333;45,75
romans-01;ROMANS;587;5,03333;46,1167
pizay;PIZAY;777;5,08333;45,8833
certines;CERTINES;1445;5,26667;46,1333
ruffieu;RUFFIEU;202;5,66667;46
meximieux;MEXIMIEUX;7268;5,2;45,9
saint-rambert-en-bugey;SAINT-RAMBERT-EN-BUGEY;2164;5,43333;45,95
ambronay;AMBRONAY;2362;5,35;46
cize-01;CIZE;170;5,43333;46,2
saint-germain-sur-renon;SAINT-GERMAIN-SUR-RENON;236;5,05;46,0833
villette-sur-ain;VILLETTE-SUR-AIN;673;5,26862;45,9884
dagneux;DAGNEUX;4099;5,06667;45,85
boissey-01;BOISSEY;288;5;46,3833
salavre;SALAVRE;284;5,35;46,3667
brion-01;BRION;517;5,55251;46,1728
labalme;LABALME;204;5,48333;46,1
sauverny;SAUVERNY;1078;6,11667;46,3167
montceaux;MONTCEAUX;1164;4,8;46,1
brenod;BRENOD;544;5,6;46,0667
miserieux;MISERIEUX;1762;4,81667;45,9833
prevessin-moens;PREVESSIN-MOENS;5980;6,08333;46,25
lent-01;LENT;1328;5,2;46,1167
marsonnas;MARSONNAS;1005;5,06667;46,3333
manziat;MANZIAT;1924;4,9;46,35
trevoux-01;TREVOUX;6730;4,76667;45,9333
bellegarde-sur-valserine;BELLEGARDE-SUR-VALSERINE;11790;5,81667;46,1
bourg-en-bresse;BOURG-EN-BRESSE;40088;5,21667;46,2
confort;CONFORT;525;5,81667;46,15
saint-denis-les-bourg;SAINT-DENIS-LES-BOURG;5405;5,2;46,2
massignieu-de-rives;MASSIGNIEU-DE-RIVES;608;5,76667;45,75
saint-etienne-sur-chalaronne;SAINT-ETIENNE-SUR-CHALARONNE;1468;4,86667;46,15
bohas-meyriat-rignat;BOHAS-MEYRIAT-RIGNAT;811;5,4;46,1333
chevry-01;CHEVRY;1235;6,03333;46,2833
fareins;FAREINS;2137;4,76667;46,0167
gorrevod;GORREVOD;799;4,95;46,4167
valeins;VALEINS;88;4,86667;46,1167
